usage_id,inv_id,user_id,usage_date,value_use,date,hour,day_of_week,anomaly_score,anomaly_label
USE9PK3KL,INV43ZABM,44,2025-08-27 16:32:13.681315+00:00,11.04,2025-08-27,16,2,1,Normal
USERAGM3T,INVS2XEV0,27,2025-03-27 21:14:44.629661+00:00,33.89,2025-03-27,21,3,1,Normal
USE158YH9,INV4Y0NY2,46,2025-02-02 06:36:53.463078+00:00,15.58,2025-02-02,6,6,1,Normal
USEJNPER4,INV4OMABV,35,2025-07-14 15:31:35.908692+00:00,21.15,2025-07-14,15,0,1,Normal
USE5ZAWXS,INVA1Q32X,44,2025-10-08 09:57:24.717266+00:00,18.11,2025-10-08,9,2,1,Normal
USE88ZI69,INVESJVFD,50,2025-01-23 18:08:05.471068+00:00,14.79,2025-01-23,18,3,1,Normal
USEWYQE7U,INVF27HT5,10,2025-06-20 15:10:29.490224+00:00,19.07,2025-06-20,15,4,1,Normal
USET4CR02,INVR7Y45Q,41,2025-02-11 13:09:05.401996+00:00,13.91,2025-02-11,13,1,1,Normal
USEADVAJ0,INV5JAP95,3,2025-11-30 14:09:32.314569+00:00,43.19,2025-11-30,14,6,1,Normal
USEDF537D,INVQIZMVL,46,2025-09-15 08:05:02.682325+00:00,3.68,2025-09-15,8,0,1,Normal
USEO634N1,INVNMXD6U,38,2025-02-05 22:00:20.374054+00:00,18.41,2025-02-05,22,2,1,Normal
USEYK0VEC,INVEC79HK,49,2025-03-16 12:18:29.034526+00:00,25.33,2025-03-16,12,6,1,Normal
USEPFBWGP,INVLTBN3W,30,2025-02-25 20:29:55.988413+00:00,20.95,2025-02-25,20,1,1,Normal
USESGGM6S,INV3IY9IZ,22,2025-04-04 07:00:40.711773+00:00,4.58,2025-04-04,7,4,1,Normal
USEXZ02ZU,INV5JAP95,43,2025-04-26 18:06:33.590874+00:00,44.47,2025-04-26,18,5,1,Normal
USEK2K76M,INVZQP4OZ,3,2025-10-10 17:26:08.600598+00:00,6.93,2025-10-10,17,4,1,Normal
USETPHQZG,INVA1Q32X,45,2025-10-17 05:58:54.796411+00:00,32.31,2025-10-17,5,4,1,Normal
USEILKTW2,INVF27HT5,35,2025-09-05 03:17:06.094750+00:00,48.99,2025-09-05,3,4,1,Normal
USEHBES2N,INVJZGF47,18,2025-04-09 01:34:38.753255+00:00,9.42,2025-04-09,1,2,1,Normal
USEL87XCL,INV2XLOVV,41,2025-07-18 18:39:53.184581+00:00,3.81,2025-07-18,18,4,1,Normal
USEQ91CJR,INVWHIWF2,1,2025-01-20 09:23:23.067799+00:00,34.76,2025-01-20,9,0,1,Normal
USEQ70QSI,INVD9VUJT,26,2025-02-16 02:10:30.137642+00:00,26.38,2025-02-16,2,6,1,Normal
USEIPUJQL,INVTUOAT3,2,2025-12-28 23:09:25.480077+00:00,37.54,2025-12-28,23,6,1,Normal
USEDKXCTZ,INVNVIDV4,44,2025-07-28 07:20:21.099952+00:00,35.64,2025-07-28,7,0,1,Normal
USEZ4XWZ0,INV4Y0NY2,47,2025-11-22 03:27:17.859124+00:00,17.09,2025-11-22,3,5,1,Normal
USEK0TCHE,INV9SMIDX,16,2025-04-15 05:51:58.641129+00:00,49.34,2025-04-15,5,1,1,Normal
USEMKY0ZT,INVWHIWF2,50,2025-05-13 09:48:04.358861+00:00,40.21,2025-05-13,9,1,1,Normal
USE4WOV68,INV4TIHKM,4,2025-11-14 11:53:47.385355+00:00,49.05,2025-11-14,11,4,1,Normal
USECH42WU,INVYHXESK,40,2025-09-02 15:42:29.877813+00:00,40.23,2025-09-02,15,1,1,Normal
USEXYI4IK,INVCKSXEM,42,2025-08-15 13:20:05.999890+00:00,29.45,2025-08-15,13,4,1,Normal
USERQBQET,INV4CO8LA,4,2025-05-05 08:25:12.531378+00:00,24.83,2025-05-05,8,0,1,Normal
USEAMTQWV,INV3K2L8V,10,2025-11-03 05:02:04.648149+00:00,43.7,2025-11-03,5,0,1,Normal
USE4H29AR,INV5JAP95,6,2025-09-26 05:43:02.437373+00:00,3.62,2025-09-26,5,4,1,Normal
USEYHEI0E,INV70I83D,8,2025-10-01 19:29:07.762818+00:00,13.87,2025-10-01,19,2,1,Normal
USEUHESQ5,INV944IOW,39,2025-04-19 11:31:36.713981+00:00,39.11,2025-04-19,11,5,1,Normal
USE5V1QO0,INVA4YK5E,26,2025-07-21 10:36:37.465458+00:00,23.63,2025-07-21,10,0,1,Normal
USEX5T3V5,INV3K2L8V,9,2025-07-27 13:00:40.068132+00:00,5.27,2025-07-27,13,6,1,Normal
USEEACIVE,INVJZGF47,24,2025-08-02 17:38:11.734539+00:00,37.03,2025-08-02,17,5,1,Normal
USE0V3S4Q,INVUOITCL,10,2025-03-09 19:22:00.249168+00:00,17.16,2025-03-09,19,6,1,Normal
USE5O8QIJ,INVJX45SU,21,2025-06-10 16:06:34.264344+00:00,21.93,2025-06-10,16,1,1,Normal
USEN314TI,INV4R8VM8,13,2025-06-01 12:40:47.987083+00:00,46.96,2025-06-01,12,6,1,Normal
USENCW8F2,INVL2GQ8H,16,2025-11-30 20:41:34.433624+00:00,30.71,2025-11-30,20,6,1,Normal
USEZ8QBO0,INVTQYY4C,18,2025-01-27 04:50:50.333803+00:00,14.0,2025-01-27,4,0,1,Normal
USE2WV30V,INVNOGK29,48,2025-11-25 03:35:14.837753+00:00,26.6,2025-11-25,3,1,1,Normal
USE9606IQ,INVDSSFVE,45,2025-07-22 07:52:08.244973+00:00,6.1,2025-07-22,7,1,1,Normal
USEINTYW2,INVUR1K6G,3,2025-11-25 01:55:41.246658+00:00,25.23,2025-11-25,1,1,1,Normal
USE6Y9FVN,INV1IV6G7,46,2025-04-15 18:26:54.368277+00:00,40.68,2025-04-15,18,1,1,Normal
USE6LQN27,INVYHXESK,17,2025-10-17 15:28:42.000674+00:00,39.5,2025-10-17,15,4,1,Normal
USEIRTE0N,INVVMMAKJ,28,2025-01-30 15:19:16.147294+00:00,29.0,2025-01-30,15,3,1,Normal
USEUGH1QX,INVYU2GUA,24,2025-09-30 02:58:36.261775+00:00,45.2,2025-09-30,2,1,1,Normal
USEEGJ3I9,INV3K2L8V,34,2025-03-09 16:20:27.925884+00:00,34.21,2025-03-09,16,6,1,Normal
USEZKL6LR,INVCLRTHQ,49,2025-12-25 12:17:40.924852+00:00,5.25,2025-12-25,12,3,1,Normal
USEYR4NGM,INVO0GIUR,47,2025-07-27 13:43:10.377340+00:00,13.67,2025-07-27,13,6,1,Normal
USE56YZHC,INVL3B3A2,43,2025-01-13 07:21:22.941993+00:00,11.26,2025-01-13,7,0,1,Normal
USEYVWO0S,INVNGTX53,4,2025-07-02 02:52:58.913013+00:00,25.77,2025-07-02,2,2,1,Normal
USEGU5H2R,INVIRUYVR,2,2025-07-23 18:03:58.563976+00:00,25.93,2025-07-23,18,2,1,Normal
USED5QABT,INVNMXD6U,10,2025-07-24 03:04:42.318361+00:00,28.28,2025-07-24,3,3,1,Normal
USEBXT9PZ,INVTUOAT3,32,2025-04-10 14:56:58.685826+00:00,8.11,2025-04-10,14,3,1,Normal
USEJE77AH,INV0ZE2HG,45,2025-10-08 11:24:40.514097+00:00,1.56,2025-10-08,11,2,1,Normal
USEX5GH34,INV944IOW,33,2025-08-22 18:36:17.853734+00:00,21.24,2025-08-22,18,4,1,Normal
USEN6O63G,INVESJVFD,21,2025-10-12 06:47:23.149083+00:00,43.05,2025-10-12,6,6,1,Normal
USE9XOUTF,INVVH6M8B,24,2025-08-22 20:36:51.149622+00:00,37.87,2025-08-22,20,4,1,Normal
USEE6PHAD,INV70I83D,6,2025-02-06 09:01:32.141943+00:00,37.02,2025-02-06,9,3,1,Normal
USECNMX11,INV6ONTCN,40,2025-02-25 20:24:57.262276+00:00,4.29,2025-02-25,20,1,1,Normal
USEYE2O3O,INVL3B3A2,5,2025-09-20 14:48:16.625620+00:00,23.84,2025-09-20,14,5,1,Normal
USE7L60GJ,INV2TQOL5,18,2025-10-24 04:32:55.417051+00:00,38.59,2025-10-24,4,4,1,Normal
USE0Y46ME,INVR7D21L,6,2025-04-28 19:03:50.125059+00:00,27.82,2025-04-28,19,0,1,Normal
USEOYVH8M,INVWHIWF2,5,2025-06-13 22:51:37.772557+00:00,29.59,2025-06-13,22,4,1,Normal
USEXOKXKP,INVSP1C69,38,2025-02-11 12:06:49.287155+00:00,6.51,2025-02-11,12,1,1,Normal
USEL7QUM7,INVF2ZMLX,25,2025-01-31 14:20:58.327851+00:00,19.79,2025-01-31,14,4,1,Normal
USE00CU4D,INV4TIHKM,39,2025-10-11 07:39:27.098146+00:00,48.7,2025-10-11,7,5,1,Normal
USEOHME6H,INVMNZPCC,48,2025-03-22 16:15:03.764972+00:00,17.19,2025-03-22,16,5,1,Normal
